name,type,a_dec_deg,l_ra_deg,x_sinA,y_cosAsinL,z_cosAcosL,notes
Sirius,star,-16.7161,101.2872,-0.28763,0.939218,-0.187455,Vmag=-1.45
Canopus,star,-52.6957,95.988,-0.795428,0.602742,-0.063223,Vmag=-0.62
Arcturus,star,19.1824,213.9153,0.328577,-0.526987,-0.783787,Vmag=-0.05
Rigil Kentaurus,star,-60.834,219.9021,-0.873211,-0.312619,-0.37386,Vmag=-0.01
Vega,star,38.7837,279.2347,0.626382,-0.769413,0.125096,Vmag=0.03
Capella,star,45.998,79.1723,0.719315,0.682316,0.1305,Vmag=0.08
Rigel,star,-8.2016,78.6345,-0.142657,0.970363,0.195052,Vmag=0.18
Procyon,star,5.225,114.8255,0.091067,0.90382,-0.418111,Vmag=0.4
Achernar,star,-57.2368,24.4285,-0.840914,0.223805,0.492722,Vmag=0.45
Betelgeuse,star,7.4071,88.7929,0.128918,0.991435,0.02089,Vmag=0.45
Hadar,star,-60.373,210.9559,-0.869262,-0.254283,-0.423938,Vmag=0.61
Altair,star,8.8683,297.6958,0.154164,-0.874842,0.459221,Vmag=0.76
Aldebaran,star,16.5093,68.9802,0.284171,0.894973,0.343904,Vmag=0.87
Spica,star,-11.1613,201.2982,-0.193572,-0.356353,-0.91408,Vmag=0.98
Antares,star,-26.432,247.3519,-0.445135,-0.826412,-0.344816,Vmag=1.06
Pollux,star,28.0262,116.329,0.469875,0.79116,-0.391513,Vmag=1.16
Fomalhaut,star,-29.6222,344.4127,-0.494279,-0.233587,0.837332,Vmag=1.17
Deneb,star,45.2803,310.358,0.710558,-0.536182,0.455649,Vmag=1.25
Mimosa,star,-59.6888,191.9303,-0.863297,-0.104331,-0.493795,Vmag=1.25
Acrux,star,-63.0991,186.6496,-0.89179,-0.052392,-0.449405,Vmag=1.33
Toliman,star,-60.8375,219.8961,-0.873241,-0.312545,-0.373852,Vmag=1.35
Regulus,star,11.9672,152.093,0.207352,0.457866,-0.864502,Vmag=1.36
Adhara,star,-28.9721,104.6565,-0.484383,0.846388,-0.221358,Vmag=1.5
Gacrux,star,-57.1132,187.7915,-0.839745,-0.073611,-0.537968,Vmag=1.59
Bellatrix,star,6.3497,81.2828,0.110597,0.982385,0.150628,Vmag=1.64
Elnath,star,28.6075,81.573,0.478806,0.868442,0.128659,Vmag=1.65
Miaplacidus,star,-69.7172,138.2999,-0.937993,0.230605,-0.258825,Vmag=1.67
Alnilam,star,-1.2019,84.0534,-0.020976,0.9944,0.103579,Vmag=1.69
Alnair,star,-46.961,332.0583,-0.730889,-0.3198,0.602934,Vmag=1.73
Alnitak,star,-1.9426,85.1897,-0.033898,0.995905,0.083809,Vmag=1.74
Alioth,star,55.9598,193.5073,0.828645,-0.130746,-0.544291,Vmag=1.76
Kaus Australis,star,-34.3846,276.043,-0.564745,-0.820679,0.08688,Vmag=1.79
Mirfak,star,49.8612,51.0807,0.764485,0.501552,0.40498,Vmag=1.79
Dubhe,star,61.751,165.932,0.880899,0.115048,-0.459108,Vmag=1.81
Wezen,star,-26.3932,107.0978,-0.444529,0.856175,-0.263359,Vmag=1.83
Alkaid,star,49.3133,206.8852,0.758285,-0.294802,-0.58146,Vmag=1.85
Avior,star,-59.5095,125.6285,-0.861713,0.412417,-0.295572,Vmag=1.86
Sargas,star,-42.9978,264.3297,-0.681971,-0.727801,-0.072263,Vmag=1.86
Menkalinan,star,44.9474,89.8822,0.706458,0.707754,0.001455,Vmag=1.9
Atria,star,-69.0277,252.1662,-0.933754,-0.340718,-0.109614,Vmag=1.91
Alhena,star,16.3993,99.428,0.282329,0.946359,-0.157143,Vmag=1.93
Peacock,star,-56.7351,306.4119,-0.836143,-0.441425,0.325588,Vmag=1.94
Castor,star,31.8883,113.6494,0.528265,0.777772,-0.340599,Vmag=1.98
Mirzam,star,-17.9559,95.6749,-0.308285,0.946632,-0.094068,Vmag=1.98
Alphard,star,-8.6586,141.8968,-0.150547,0.610046,-0.777933,Vmag=1.99
Alsephina,star,-54.7088,131.1759,-0.816227,0.434854,-0.380363,Vmag=1.99
Hamal,star,23.4624,31.7934,0.398147,0.483297,0.779681,Vmag=2.01
Diphda,star,-17.9866,10.8974,-0.308795,0.179811,0.933977,Vmag=2.04
Nunki,star,-26.2967,283.8164,-0.44302,-0.870572,0.214097,Vmag=2.05
Menkent,star,-36.37,211.6706,-0.592997,-0.422761,-0.685294,Vmag=2.06
Alpheratz,star,29.0904,2.0969,0.486189,0.031974,0.873268,Vmag=2.07
Kochab,star,74.1555,222.6764,0.962006,-0.185073,-0.200728,Vmag=2.07
Mirach,star,35.6206,17.433,0.582415,0.243535,0.775554,Vmag=2.07
Saiph,star,-9.6696,86.9391,-0.167966,0.984386,0.052638,Vmag=2.07
Rasalhague,star,12.56,263.7336,0.217462,-0.970237,-0.106539,Vmag=2.08
Shaula,star,-37.1038,263.4022,-0.603261,-0.792262,-0.091637,Vmag=2.08
Algol,star,40.9556,47.0422,0.655475,0.55271,0.51465,Vmag=2.09
Almach,star,42.3297,30.9748,0.673396,0.38048,0.633856,Vmag=2.1
Tiaki,star,-46.8846,340.6669,-0.729978,-0.22627,0.644929,Vmag=2.12
Polaris,star,89.2641,37.9546,0.999918,0.007899,0.010127,Vmag=2.13
Denebola,star,14.5721,177.2649,0.251597,0.046183,-0.966729,Vmag=2.14
Aspidiske,star,-59.2752,139.2725,-0.859631,0.333352,-0.387182,Vmag=2.21
Naos,star,-40.0031,120.896,-0.64283,0.657313,-0.393332,Vmag=2.21
Alphecca,star,26.7147,233.672,0.449548,-0.719641,-0.529172,Vmag=2.22
Mizar,star,54.9254,200.9814,0.818404,-0.20576,-0.536542,Vmag=2.23
Sadr,star,40.2567,305.5571,0.646213,-0.620856,0.443786,Vmag=2.23
Suhail,star,-43.4326,136.999,-0.687501,0.495265,-0.531088,Vmag=2.23
Eltanin,star,51.4889,269.1515,0.782487,-0.622598,-0.00922,Vmag=2.24
Schedar,star,56.5373,10.1268,0.834245,0.09695,0.542803,Vmag=2.24
Mintaka,star,-0.2991,83.0017,-0.00522,0.992536,0.121839,Vmag=2.25
Caph,star,59.1498,2.2945,0.858511,0.02053,0.512384,Vmag=2.28
Dschubba,star,-22.6217,240.0834,-0.384645,-0.800068,-0.460369,Vmag=2.29
Larawag,star,-34.2932,252.5409,-0.563428,-0.788104,-0.24787,Vmag=2.29
Merak,star,56.3824,165.4603,0.832751,0.138993,-0.535916,Vmag=2.34
Izar,star,27.0742,221.2468,0.455144,-0.587055,-0.669485,Vmag=2.35
Enif,star,9.875,326.0465,0.171499,-0.550245,0.817201,Vmag=2.38
Ankaa,star,-42.3061,6.5709,-0.673091,0.08463,0.734701,Vmag=2.4
Phecda,star,53.6948,178.4577,0.805874,0.015936,-0.591872,Vmag=2.41
Sabik,star,-15.7249,257.5945,-0.271019,-0.9401,-0.206788,Vmag=2.43
Scheat,star,28.0828,345.9436,0.470747,-0.214283,0.855851,Vmag=2.44
Alderamin,star,62.5856,319.6449,0.887699,-0.298135,0.350864,Vmag=2.45
Aludra,star,-29.3031,111.0238,-0.48943,0.813992,-0.31285,Vmag=2.45
Markeb,star,-55.0107,140.5284,-0.819259,0.364523,-0.442649,Vmag=2.47
Aljanah,star,33.9703,311.5528,0.558762,-0.620623,0.550102,Vmag=2.48
Markab,star,15.2053,346.1902,0.262278,-0.230343,0.937098,Vmag=2.49
Pleiades,other,24.1139,56.6008,0.408552,0.762002,0.502432,
Orion Nebula,other,-5.3876,83.8201,-0.093893,0.989797,0.107175,
