name,type,true_ra_deg,true_dec_deg,pred_ra_deg,pred_dec_deg,parsed,angular_error_deg
Sirius,star,101.2872,-16.7161,101.2872,-16.7161,1,0.0000
Canopus,star,95.9880,-52.6957,96.0000,-52.7000,1,0.0084
Arcturus,star,213.9153,19.1824,213.9154,19.1825,1,0.0001
Rigil Kentaurus,star,219.9021,-60.8340,219.9020,-60.8340,1,0.0000
Vega,star,279.2347,38.7837,279.2347,38.7837,1,0.0000
Capella,star,79.1723,45.9980,79.1725,45.9981,1,0.0001
Rigel,star,78.6345,-8.2016,78.6346,-8.2016,1,0.0001
Procyon,star,114.8255,5.2250,114.8255,5.2264,1,0.0014
Achernar,star,24.4285,-57.2368,24.4285,-57.2367,1,0.0001
Betelgeuse,star,88.7929,7.4071,88.7929,7.4071,1,0.0001
Hadar,star,210.9559,-60.3730,210.9558,-60.3728,1,0.0002
Altair,star,297.6958,8.8683,297.6958,8.8683,1,0.0000
Aldebaran,star,68.9802,16.5093,68.9802,16.5093,1,0.0000
Spica,star,201.2982,-11.1613,201.2982,-11.1613,1,0.0000
Antares,star,247.3519,-26.4320,247.3521,-26.4319,1,0.0002
Pollux,star,116.3290,28.0262,116.3287,28.0262,1,0.0002
Fomalhaut,star,344.4127,-29.6222,344.4127,-29.6222,1,0.0000
Deneb,star,310.3580,45.2803,310.3579,45.2803,1,0.0001
Mimosa,star,191.9303,-59.6888,183.9753,-59.6833,1,4.0128
Acrux,star,186.6496,-63.0991,186.6496,-57.2367,1,5.8624
Toliman,star,219.8961,-60.8375,219.9021,-60.8340,1,0.0046
Regulus,star,152.0930,11.9672,152.0929,11.9672,1,0.0001
Adhara,star,104.6565,-28.9721,104.6565,-28.9723,1,0.0002
Gacrux,star,187.7915,-57.1132,187.7913,-57.1131,1,0.0002
Bellatrix,star,81.2828,6.3497,81.2828,6.3497,1,0.0000
Elnath,star,81.5730,28.6075,81.5729,28.6075,1,0.0001
Miaplacidus,star,138.2999,-69.7172,138.3013,-69.7006,1,0.0167
Alnilam,star,84.0534,-1.2019,84.0533,-1.9389,1,0.7370
Alnair,star,332.0583,-46.9610,331.8579,-46.9564,1,0.1368
Alnitak,star,85.1897,-1.9426,85.4246,-1.9389,1,0.2348
Alioth,star,193.5073,55.9598,193.5071,55.9599,1,0.0001
Kaus Australis,star,276.0430,-34.3846,276.0434,-34.3865,1,0.0020
Mirfak,star,51.0807,49.8612,51.0792,49.8611,1,0.0010
Dubhe,star,165.9320,61.7510,165.9321,61.7508,1,0.0002
Wezen,star,107.0978,-26.3932,107.0979,-26.3932,1,0.0001
Alkaid,star,206.8852,49.3133,206.8850,49.3133,1,0.0001
Avior,star,125.6285,-59.5095,125.6285,-59.5161,1,0.0066
Sargas,star,264.3297,-42.9978,264.3297,-42.9978,1,0.0000
Menkalinan,star,89.8822,44.9474,89.8822,44.9475,1,0.0001
Atria,star,252.1662,-69.0277,252.1646,-69.0283,1,0.0009
Alhena,star,99.4280,16.3993,99.4279,16.3996,1,0.0003
Peacock,star,306.4119,-56.7351,306.4117,-56.7369,1,0.0018
Castor,star,113.6494,31.8883,113.6496,31.8883,1,0.0002
Mirzam,star,95.6749,-17.9559,95.6746,-17.9561,1,0.0004
Alphard,star,141.8968,-8.6586,141.8969,-8.6583,1,0.0003
Alsephina,star,131.1759,-54.7088,131.1787,-54.7140,1,0.0054
Hamal,star,31.7934,23.4624,31.7929,23.4597,1,0.0027
Diphda,star,10.8974,-17.9866,55.9221,-17.9889,1,42.7128
Nunki,star,283.8164,-26.2967,283.8165,-26.2939,1,0.0028
Menkent,star,211.6706,-36.3700,211.6537,-36.3706,1,0.0136
Alpheratz,star,2.0969,29.0904,2.0970,29.0997,1,0.0093
Kochab,star,222.6764,74.1555,222.6763,74.1556,1,0.0001
Mirach,star,17.4330,35.6206,17.4332,40.7698,1,5.1492
Saiph,star,86.9391,-9.6696,86.9392,-9.6724,1,0.0028
Rasalhague,star,263.7336,12.5600,263.7333,12.5600,1,0.0003
Shaula,star,263.4022,-37.1038,263.4021,-37.1106,1,0.0068
Algol,star,47.0422,40.9556,47.0422,40.9556,1,0.0000
Almach,star,30.9748,42.3297,30.9747,42.3298,1,0.0002
Tiaki,star,340.6669,-46.8846,185.4604,-54.3125,1,76.6478
Polaris,star,37.9546,89.2641,37.9542,89.2642,1,0.0001
Denebola,star,177.2649,14.5721,177.2648,14.5092,1,0.0629
Aspidiske,star,139.2725,-59.2752,137.5375,-59.2500,1,0.8871
Naos,star,120.8960,-40.0031,120.8966,-40.0033,1,0.0005
Alphecca,star,233.6720,26.7147,232.4371,26.7031,1,1.1032
Mizar,star,200.9814,54.9254,205.4813,54.9258,1,2.5853
Sadr,star,305.5571,40.2567,305.5571,40.2638,1,0.0071
Suhail,star,136.9990,-43.4326,158.9500,-43.2667,1,15.9168
Eltanin,star,269.1515,51.4889,269.1520,51.4889,1,0.0003
Schedar,star,10.1268,56.5373,10.1265,56.5374,1,0.0002
Mintaka,star,83.0017,-0.2991,83.0017,-0.3000,1,0.0009
Caph,star,2.2945,59.1498,2.2923,59.1454,1,0.0045
Dschubba,star,240.0834,-22.6217,240.0833,-22.6222,1,0.0005
Larawag,star,252.5409,-34.2932,252.5432,-34.2934,1,0.0019
Merak,star,165.4603,56.3824,165.4603,56.3832,1,0.0008
Izar,star,221.2468,27.0742,213.7554,27.0733,1,6.6695
Enif,star,326.0465,9.8750,326.0465,9.8750,1,0.0000
Ankaa,star,6.5709,-42.3061,6.5721,-42.3311,1,0.0250
Phecda,star,178.4577,53.6948,178.4575,53.6931,1,0.0017
Sabik,star,257.5945,-15.7249,257.5933,-15.7322,1,0.0074
Scheat,star,345.9436,28.0828,345.9435,28.1250,1,0.0422
Alderamin,star,319.6449,62.5856,337.9546,62.5856,1,8.4019
Aludra,star,111.0238,-29.3031,111.0238,-29.3161,1,0.0130
Markeb,star,140.5284,-55.0107,158.3683,-54.7064,1,10.2452
Aljanah,star,311.5528,33.9703,311.5530,33.9695,1,0.0008
Markab,star,346.1902,15.2053,346.1896,15.2050,1,0.0007
Pleiades,other,56.6008,24.1139,56.7500,24.1167,1,0.1362
Orion Nebula,other,83.8201,-5.3876,83.8221,-5.3911,1,0.0040
Crab Nebula,other,83.6324,22.0174,83.6331,22.0144,1,0.0030
Andromeda Galaxy,other,10.6847,41.2688,10.6846,41.2689,1,0.0001
Triangulum Galaxy,other,23.4621,30.6602,23.4598,30.6600,1,0.0020
Whirlpool Galaxy,other,202.4696,47.1953,202.4696,47.1953,1,0.0000
Hercules Cluster,other,250.4235,36.4613,250.4233,36.7689,1,0.3076
Ring Nebula,other,283.3962,33.0291,283.3962,33.0292,1,0.0001
Sombrero Galaxy,other,189.9976,-11.6231,189.9975,-11.6231,1,0.0001
Beehive Cluster,other,130.0542,19.6211,130.1000,19.6667,1,0.0627
Lagoon Nebula,other,270.9042,-24.3867,270.9062,-24.3833,1,0.0038
Omega Centauri,other,201.6970,-47.4795,201.6976,-47.0456,1,0.4339
Large Magellanic Cloud,other,80.8942,-69.7561,80.8942,-69.7561,1,0.0000
Carina Nebula,other,161.2593,-59.6999,161.2854,-59.8667,1,0.1673
Tarantula Nebula,other,84.6750,-69.1000,84.6767,-69.0972,1,0.0028
