name,type,true_ra_deg,true_dec_deg,pred_ra_deg,pred_dec_deg,parsed,angular_error_deg
Sirius,star,101.2872,-16.7161,101.2871,-16.7161,1,0.0001
Canopus,star,95.9880,-52.6957,95.9880,-52.6957,1,0.0000
Arcturus,star,213.9153,19.1824,213.9154,19.1825,1,0.0001
Rigil Kentaurus,star,219.9021,-60.8340,219.9021,-60.8340,1,0.0000
Vega,star,279.2347,38.7837,279.2347,38.7837,1,0.0000
Capella,star,79.1723,45.9980,79.1723,45.9980,1,0.0000
Rigel,star,78.6345,-8.2016,78.6345,-8.2016,1,0.0001
Procyon,star,114.8255,5.2250,114.8255,5.2250,1,0.0000
Achernar,star,24.4285,-57.2368,24.4285,-57.2368,1,0.0001
Betelgeuse,star,88.7929,7.4071,88.7929,7.4071,1,0.0001
Hadar,star,210.9559,-60.3730,210.9563,-60.3731,1,0.0002
Altair,star,297.6958,8.8683,297.6958,8.8683,1,0.0000
Aldebaran,star,68.9802,16.5093,68.9802,16.5093,1,0.0000
Spica,star,201.2982,-11.1613,201.2982,-11.1613,1,0.0000
Antares,star,247.3519,-26.4320,247.3519,-26.4320,1,0.0000
Pollux,star,116.3290,28.0262,116.3290,28.0262,1,0.0000
Fomalhaut,star,344.4127,-29.6222,344.4127,-29.6222,1,0.0000
Deneb,star,310.3580,45.2803,310.3580,45.2803,1,0.0000
Mimosa,star,191.9303,-59.6888,191.9304,-59.6886,1,0.0002
Acrux,star,186.6496,-63.0991,186.6496,-63.0989,1,0.0002
Toliman,star,219.8961,-60.8375,219.8962,-60.8372,1,0.0003
Regulus,star,152.0930,11.9672,152.0929,11.9672,1,0.0001
Adhara,star,104.6565,-28.9721,104.6562,-1.0128,1,27.9593
Gacrux,star,187.7915,-57.1132,187.8665,-57.1126,1,0.0407
Bellatrix,star,81.2828,6.3497,81.2827,6.3497,1,0.0001
Elnath,star,81.5730,28.6075,81.5729,28.6067,1,0.0008
Miaplacidus,star,138.2999,-69.7172,138.4575,-69.7563,1,0.0672
Alnilam,star,84.0534,-1.2019,84.0534,-1.2019,1,0.0001
Alnair,star,332.0583,-46.9610,332.0579,-46.0081,1,0.9529
Alnitak,star,85.1897,-1.9426,85.1897,-1.9426,1,0.0000
Alioth,star,193.5073,55.9598,193.5081,55.9598,1,0.0004
Kaus Australis,star,276.0430,-34.3846,292.0506,-20.7703,1,19.6128
Mirfak,star,51.0807,49.8612,52.9800,49.8869,1,1.2243
Dubhe,star,165.9320,61.7510,165.9320,61.7510,1,0.0000
Wezen,star,107.0978,-26.3932,106.2396,-26.3933,1,0.7688
Alkaid,star,206.8852,49.3133,206.8852,49.3131,1,0.0002
Avior,star,125.6285,-59.5095,125.6275,-59.5033,1,0.0062
Sargas,star,264.3297,-42.9978,264.7129,-42.9978,1,0.2803
Menkalinan,star,89.8822,44.9474,222.6764,74.1553,1,56.7472
Atria,star,252.1662,-69.0277,248.7842,-69.0217,1,1.2105
Alhena,star,99.4280,16.3993,100.3521,16.5092,1,0.8930
Peacock,star,306.4119,-56.7351,,,0,90.0000
Castor,star,113.6494,31.8883,113.6503,31.8884,1,0.0008
Mirzam,star,95.6749,-17.9559,114.8254,-17.9664,1,18.2091
Alphard,star,141.8968,-8.6586,141.8967,-8.6661,1,0.0075
Alsephina,star,131.1759,-54.7088,,,0,90.0000
Hamal,star,31.7934,23.4624,31.8350,23.4625,1,0.0382
Diphda,star,10.8974,-17.9866,11.1405,8.1449,1,26.1326
Nunki,star,283.8164,-26.2967,298.4000,-26.2775,1,13.0685
Menkent,star,211.6706,-36.3700,,,0,90.0000
Alpheratz,star,2.0969,29.0904,2.0969,29.0906,1,0.0002
Kochab,star,222.6764,74.1555,222.6763,74.1556,1,0.0001
Mirach,star,17.4330,35.6206,17.4312,35.7828,1,0.1622
Saiph,star,86.9391,-9.6696,86.9392,-9.6694,1,0.0002
Rasalhague,star,263.7336,12.5600,263.7327,12.5602,1,0.0009
Shaula,star,263.4022,-37.1038,263.4021,-37.1036,1,0.0002
Algol,star,47.0422,40.9556,47.0421,40.9556,1,0.0001
Almach,star,30.9748,42.3297,3.3088,15.1833,1,36.0726
Tiaki,star,340.6669,-46.8846,,,0,90.0000
Polaris,star,37.9546,89.2641,37.9545,89.2641,1,0.0000
Denebola,star,177.2649,14.5721,177.2649,14.5721,1,0.0000
Aspidiske,star,139.2725,-59.2752,,,0,90.0000
Naos,star,120.8960,-40.0031,,,0,90.0000
Alphecca,star,233.6720,26.7147,233.6717,26.9833,1,0.2686
Mizar,star,200.9814,54.9254,200.9812,54.9253,1,0.0001
Sadr,star,305.5571,40.2567,310.1897,40.2052,1,3.5367
Suhail,star,136.9990,-43.4326,95.9879,-52.6956,1,28.4839
Eltanin,star,269.1515,51.4889,269.1514,51.4890,1,0.0001
Schedar,star,10.1268,56.5373,10.1268,56.5373,1,0.0000
Mintaka,star,83.0017,-0.2991,83.0017,-0.2991,1,0.0000
Caph,star,2.2945,59.1498,2.2950,59.1489,1,0.0009
Dschubba,star,240.0834,-22.6217,253.9917,-42.5000,1,23.0059
Larawag,star,252.5409,-34.2932,,,0,90.0000
Merak,star,165.4603,56.3824,165.4604,56.3828,1,0.0004
