name,type,true_ra_deg,true_dec_deg,pred_ra_deg,pred_dec_deg,parsed,angular_error_deg
Sirius,star,101.2872,-16.7161,101.2871,-16.7161,1,0.0001
Canopus,star,95.9880,-52.6957,95.9879,-52.6956,1,0.0001
Arcturus,star,213.9153,19.1824,213.9154,19.1823,1,0.0002
Rigil Kentaurus,star,219.9021,-60.8340,219.9021,-60.8334,1,0.0006
Vega,star,279.2347,38.7837,279.2346,38.7844,1,0.0007
Capella,star,79.1723,45.9980,79.1725,45.9981,1,0.0001
Rigel,star,78.6345,-8.2016,78.6345,-8.2016,1,0.0000
Procyon,star,114.8255,5.2250,114.8254,5.2247,1,0.0003
Achernar,star,24.4285,-57.2368,23.2262,-57.2367,1,0.6506
Betelgeuse,star,88.7929,7.4071,88.7929,7.4071,1,0.0000
Hadar,star,210.9559,-60.3730,210.9550,-60.3737,1,0.0008
Altair,star,297.6958,8.8683,297.6958,8.8682,1,0.0001
Aldebaran,star,68.9802,16.5093,68.9800,16.5092,1,0.0002
Spica,star,201.2982,-11.1613,201.2978,-11.1613,1,0.0004
Antares,star,247.3519,-26.4320,255.9313,-26.4321,1,7.6811
Pollux,star,116.3290,28.0262,116.3290,28.0262,1,0.0000
Fomalhaut,star,344.4127,-29.6222,344.4132,-29.6217,1,0.0007
Deneb,star,310.3580,45.2803,310.3579,45.2803,1,0.0001
Mimosa,star,191.9303,-59.6888,186.6954,-59.6785,1,2.6418
Acrux,star,186.6496,-63.0991,186.7025,-63.0881,1,0.0264
Toliman,star,219.8961,-60.8375,219.9021,-60.8357,1,0.0034
Regulus,star,152.0930,11.9672,152.0963,11.9672,1,0.0032
Adhara,star,104.6565,-28.9721,99.7849,-29.3368,1,4.2697
Gacrux,star,187.7915,-57.1132,186.6521,-57.0031,1,0.6293
Bellatrix,star,81.2828,6.3497,81.1450,4.4508,1,1.9038
Elnath,star,81.5730,28.6075,81.0150,28.2512,1,0.6064
Miaplacidus,star,138.2999,-69.7172,146.9750,-69.5089,1,3.0266
Alnilam,star,84.0534,-1.2019,84.0533,-1.2002,1,0.0017
Alnair,star,332.0583,-46.9610,326.8650,8.7272,1,55.8801
Alnitak,star,85.1897,-1.9426,85.1849,-1.2012,1,0.7414
